,roles,companies,locations,experience,skills,Dates,PresentDate,salary
119,International Sales & Documentation - Medical Equipment's,BPL,Bengaluru,2-4 Yrs,Export DocumentationInternational SalesExport SalesMedical EquipmentSalesDocumentationExportMedical,3 Days Ago,2024-11-24,Not disclosed
120,Senior Associate I Procurement,Novo Nordisk,Bengaluru,4-6 Yrs,ProcurementSupply chainBusiness processProject managementHealthcareMS OfficeContinuous improvementOperations,9 Days Ago,2024-11-24,Not disclosed
121,Perfusionist,Manipal Hospitals,Mangaluru,0-2 Yrs,anaesthesiologistmedicalaclshealth care servicesotblscritical careinterpersonal skills,1 Day Ago,2024-11-24,Not disclosed
122,Global Portfolio Launch Analytics Manager,Novo Nordisk,Bengaluru,7-12 Yrs,Business servicesGlobal marketingMarket analysisData analysisPharmaAnalyticalData collectionHealthcare,12 Days Ago,2024-11-24,Not disclosed
123,Medical Monitor Professional,PSI Cro,Bengaluru,3 Yrs,Analytical skillsGCPMedical DoctorClinical trialsclinical developmentPrincipal InvestigatorPharmacovigilanceMS Office,15 Days Ago,2024-11-24,Not disclosed
124,Medical Engagement Associate,Indegene,Bengaluru,0-4 Yrs,PharmacovigilancePVMICCCase ProcessingEngagementMedicalProcessCase,8 Days Ago,2024-11-24,Not disclosed
125,Staff Nurse,Bangalore Gastro Centre,Bengaluru(HSR Layout),2-6 Yrs,SurgicalOTNursingOperation TheatreCritical CareOPDGNMMicu,10 Days Ago,2024-11-24,2.25-5.5 Lacs PA
126,Cardiac Surgeon,Narayana Health (NH),Davangere,0-5 Yrs,Cardiac SurgeryCtvsSurgeryCardiac,1 Day Ago,2024-11-24,Not disclosed
127,Regional Medical Advisor,Dr Reddys,"Kolkata, Ahmedabad, Jaipur",0-5 Yrs,Kol ManagementMedical AffairsMedico MarketingMedicalManagementRegionalMarketingKol,2 Days Ago,2024-11-24,Not disclosed
128,Customer Relationship Executive,Lifecell,Hyderabad(KPHB +1),0-5 Yrs,Communication SkillsRelationshipCustomer relationship,1 Day Ago,2024-11-24,Not disclosed
129,Medical Gastroenterologist,Narayana Health (NH),Davangere,0-5 Yrs,GastroenterologyGastroMedical,1 Day Ago,2024-11-24,Not disclosed
130,Cardiologist,Narayana Health (NH),Davangere,0-5 Yrs,Interventional CardiologyCardiology,1 Day Ago,2024-11-24,Not disclosed
131,Medical Coding Trainee - Biotech / Chemistry / Life Sciences -Freshers,Clin Infotech,Bangalore/Bengaluru,0-1 Yrs,Medical CodingBiotechnologyPharmaceuticsMicrobiologyZoologyBiologyBiochemistryLife Sciences,15 Days Ago,2024-11-24,Not disclosed
132,Executive- Customer Relationship,Lifecell,Hyderabad(Himayatnagar +2),0-5 Yrs,Communication SkillsPresentation SkillsCustomer relationshipPresentationRelationship,1 Day Ago,2024-11-24,Not disclosed
133,Consultant Gynecologist/ IVF Consultant in Thanisandra,Indira Ivf Hospital,Bengaluru(Thanisandra),0-5 Yrs,GynecologistGynecologyObstetricsObstetrics And GynaecologyIvfConsulting,11 Days Ago,2024-11-24,Not disclosed
134,Consultant Gynecologist/ IVF Consultant in Thanisandra,Indira Ivf Hospital,Bengaluru(Thanisandra),0-5 Yrs,GynecologistGynecologyObstetricsObstetrics And GynaecologyIvfConsulting,12 Days Ago,2024-11-24,Not disclosed
135,Anaesthetist,Fortis,"Mohali, Chandigarh",0-5 Yrs,AnaesthesiologistAnaesthesiologyAnesthesiaAnesthesiologyIntensive CareEmergency MedicineCritical Care MedicinePain Management,1 Day Ago,2024-11-24,Not disclosed
136,Salesforce Developer,Novo Nordisk,Bengaluru,5-10 Yrs,Computer scienceBusiness servicesInfrastructure managementProject managementHealthcareLife sciencesTroubleshootingIT operations,12 Days Ago,2024-11-24,Not disclosed
137,Senior Business Analyst I - SAP EWM,Novo Nordisk,Bengaluru,7-12 Yrs,Supply chainsap ewmAutomationBusiness AnalystControl systemAgileHealthcareWarehouse management,12 Days Ago,2024-11-24,Not disclosed
138,Advanced system manager II,Novo Nordisk,Bengaluru,8-13 Yrs,Supply chainService managementComputer scienceUsageHealthcareVulnerabilityRisk managementStakeholder management,12 Days Ago,2024-11-24,Not disclosed
139,Quality Control Associate,Dr Reddys,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-4 Yrs,Senior AnalystManager Quality ControlQuality Control Associate,30+ Days Ago,2024-11-24,Not disclosed
140,Sr. Analyst - Technical Service LSR,Merck,Bengaluru,1-3 Yrs,Cell cultureClaimsMicrobiologyISOProcess improvementConsultingCell biologyBiochemistry,11 Days Ago,2024-11-24,Not disclosed
141,Sr. Resident,Sir Ganga Ram Hospital,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,opdemergency medicinecritical careorthopedicsmedicinenursinggeneral medicinehealthcare,1 Day Ago,2024-11-24,Not disclosed
142,Nephrologist Consultant,Narayana Health (NH),Davangere,0-2 Yrs,NephrologyDialysisConsulting,1 Day Ago,2024-11-24,Not disclosed
143,Team Lead: Sterile Operations,Dr Reddys,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-8 Yrs,Plant operationsSafety trainingProduction planningMFRGMPTalent managementOperationsMaintenance planning,30+ Days Ago,2024-11-24,Not disclosed
144,Production Specialist - Sterile Operations / Aseptic Manufacturing,Dr Reddys,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,Plant operationsUSFDAKaizenLean manufacturingFormulationOEMManagementMHRA,30+ Days Ago,2024-11-24,Not disclosed
145,"Sr. Resident, Medical Genetics",Sir Ganga Ram Hospital,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,medical writingscalingdentistryadministrationus healthcarediagnosishospital administrationicd,1 Day Ago,2024-11-24,Not disclosed
146,Regional Customer Marketing Manager,Abbott,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-8 Yrs,Medical devicesProduct promotioncustomer marketingNutritionMarketing planningMarketing campaignsHealthcareHTTP,30+ Days Ago,2024-11-24,Not disclosed
147,"Supervisor, Production",Apotex,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-5 Yrs,Employee developmentProduction SupervisorSAPComplianceSenior managementPharmaStandard operating proceduresContinuous improvement,30+ Days Ago,2024-11-24,Not disclosed
148,Cardiac Anesthesiologist,Narayana Health (NH),Davangere,0-3 Yrs,Cardiac AnesthesiaCritical CareCardiacAnesthesiaAnaesthesiologist,1 Day Ago,2024-11-24,Not disclosed
149,Regional Customer Marketing Manager-South 1,Abbott,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-8 Yrs,TradeSales planningNutritionProject managementTrade marketingBusiness planningRegional salesFMCG,30 Days Ago,2024-11-24,Not disclosed
150,"Walkin -Drive - Field Sales ""Medical Representative""",Lupin,"Mangaluru, Udupi, Bengaluru",0-5 Yrs,Medical RepMRField SalesHospital SalesPharmaceutical SalesMedicalHospitalSales,18 Days Ago,2024-11-24,3-4 Lacs PA
151,Resident Medical Officer- MBBS :: Fortis Hospital Ludhiana,Fortis,Ludhiana,0-3 Yrs,mbbsMedicalHospital,2 Days Ago,2024-11-24,Not disclosed
152,Customer Relationship Executive,Lifecell,Chennai(Perambur),0-5 Yrs,Presentation SkillsCommunication SkillsCustomer relationshipPresentationRelationship,1 Day Ago,2024-11-24,Not disclosed
153,Account Executive- Imaging Systems,Philips,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-10 Yrs,SalesCustomer satisfactionDiversity and InclusionRelationshipCustomer serviceAccounts ExecutiveManagementTechnical support,16 Days Ago,2024-11-24,Not disclosed
154,SAP Project Management Coordinator,Merck,Bengaluru,4-9 Yrs,Business communicationAdministrationSAP project managementChange managementSAP ERPAgileJIRAProject Management Coordinator,11 Days Ago,2024-11-24,Not disclosed
155,Independent Contractor - HR Ops SAP Administrator,Cytel,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-4 Yrs,Computer scienceData migrationSAPData managementProcess improvementInformation technologyOperationsTechnical support,11 Days Ago,2024-11-24,Not disclosed
156,MS/ DNB General Surgery,Narayana Health (NH),"Kolkata, Howrah",0-3 Yrs,DNB General SurgeonSurgeryMS General SurgeonGeneral SurgeryDNBMicrosoftGeneral,1 Day Ago,2024-11-24,25-40 Lacs PA
157,Breast Oncologist- Narayana Hrudayalaya Hospitals- Kolkata & Howrah,Narayana Health (NH),"Kolkata, Howrah",0-3 Yrs,Breast OncologistSurgical oncologyBreast Onco SurgeonSurgical Breast OncologistMCh Surgical OncologyBreast OncoplastyDNB Surgical OncologyMch,1 Day Ago,2024-11-24,35-70 Lacs PA
158,Account Manager - Imaging System,Philips,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-10 Yrs,SalesCustomer satisfactionDiversity and InclusionRelationshipCustomer serviceManagementTechnical supportMonitoring,30+ Days Ago,2024-11-24,Not disclosed
159,Customer Development Executive (Voice/Emails/Chat),Osmf,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,OutboundCustomer Development ExecutiveCustomer Service AssociateDevelopmentChatVoiceCustomer serviceCustomer Development,30+ Days Ago,2024-11-24,Not disclosed
160,Customer Engagement Manager,Abbott,"Mumbai, Pune",2-6 Yrs,Change managementMedical devicesHealthcareInformation managementCustomer serviceBusiness solutionsCustomer engagementInformation technology,30+ Days Ago,2024-11-24,Not disclosed
161,Part-Time Radiologist Consultant,Manipal Hospitals,Pune(Kharadi),3-8 Yrs,MD RadiologyUSGDNBPart TimeRadio DiagnosisradiologistRadioRadiology,3 Days Ago,2024-11-24,Not disclosed
162,Customer Representative Executive,Mind A Mend,Pune(Narayan Peth),0-2 Yrs,Communication SkillsCustomer RelationshipSpoken EnglishTelecallingCustomer HandlingPresentation SkillsWritten CommunicationSolving Queries,1 Day Ago,2024-11-24,1.25-2 Lacs PA
163,Receptionist And Telephone Operator,New Roots Hair Clinic,"Nagpur(Dhantoli), Hyderabad(Banjara hills), Pune(Deccan Gymkhana)",22 Nov - 01 Dec,Telephone OperatingReceptionFront DeskComputer OperatingFront Office OperationsGuest HandlingTelephone HandlingTelephone,2 Days Ago,2024-11-24,Not disclosed
164,Zonal Sales Manager,Sunrise Solutions,"Mumbai, Pune, Ahmedabad",20-25 Yrs,Zonal Sales ManagerZonalManagementSales,14 Days Ago,2024-11-24,17-20 Lacs PA
165,Officer / Executive - RA EU,Lupin,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",1-2 Yrs,CPharmaOfficer ExecutiveRAPharmaceutical,30+ Days Ago,2024-11-24,Not disclosed
166,Area Business Manager- Diabetes Maximus- Pune,Abbott,Pune,2-4 Yrs,Medical devicesSales planningPharmaAnalyticalHealthcareMentorBusiness strategyForecasting,5 Days Ago,2024-11-24,Not disclosed
167,Field Clinical Coordinator-Pune,2coms,Pune,1-6 Yrs,field coordinationteam managementmrproductioncustomer servicengossnursingplant operations,4 Days Ago,2024-11-24,2-3 Lacs PA
168,Scientific Writer (Executive/Senior Executive/ Asst. Manager/Manager),BVG India,Pune(Bhosari),4-8 Yrs,Regulatory AffairsClinical Study ReportScientific WritingRegulatoryManagementAssistanceClinicalSenior,4 Days Ago,2024-11-24,4-8.5 Lacs PA
169,Sales Executive- Medical devices & Equipment,Allengers Medical Systems,"Kangra, Dehradun, Ahmedabad",1-3 Yrs,SalesMedical Equipment SalesField SalesMedical DevicesMedical EquipmentNephrologyField WorkCritical Care,1 Day Ago,2024-11-24,1.5-4 Lacs PA
170,Woman Hiring Drive-Therapy Manager- Acute Segment,Cipla,"Pune, Delhi / NCR, Mumbai (All Areas)",1-5 Yrs,Pharma SellingSalesMedical RepPharmaceutical SalesSellingfiled salesMRsales officer,16 Days Ago,2024-11-24,Not disclosed
171,Manager/ Sr Manager - HRBP - Pune,Emcure,Pune,10-14 Yrs,Corporate HRPerformance Management SystemGlobal HRStrategic HRCompetency MappingHR StrategyTalent ManagementBusiness HR,3 Days Ago,2024-11-24,Not disclosed
172,AGM/DGM Marketing Lead -International Markets - Pharmaceuticals - Pune,Emcure,Pune,14-18 Yrs,MarketingBrand ManagementBrand LaunchesInternational MarketsPharma MarketingBrand launchAgmManagement,3 Days Ago,2024-11-24,Not disclosed
173,Senior Java Engineer,Hoffmann-La Roche,Pune,5-9 Yrs,Core JavaHibernateData managementXMLHealthcareJSONTest casesUnit testing,5 Days Ago,2024-11-24,Not disclosed
174,Drug Safety Specialist,Fidelity Health Services,"Mumbai, Pune",3-4 Yrs,ReconciliationCase processingManagementDrug safetyCaseProcessingDrugSafety,30+ Days Ago,2024-11-24,Not disclosed
175,Enterprise DevOps Engineer (LSMV/LSRA Config Expert),Roche Diagnostics,Pune,3-7 Yrs,IT servicesBackendRegulatory reportingAnalyticalproduct life cycleHealthcareCustomer servicePharmacovigilance,3 Days Ago,2024-11-24,Not disclosed
176,Firmware Engineer,Philips,Pune,2-9 Yrs,RTOSVXWorksMedical devicesSoftware designLinuxDigital signal processingEngineering ManagerFirmware,4 Days Ago,2024-11-24,Not disclosed
177,Career Opportunity - SAP SD Functional Consultant - Pune,Emcure,Pune,4-7 Yrs,SAP SDSD ModulesSap Sales And DistributionSalesSAP PresalesFunctionalConsultingSAP,3 Days Ago,2024-11-24,Not disclosed
178,Manager/Sr Manager - SAP QM & PM - Pune,Emcure,Pune,9-14 Yrs,SAP QM PMSAP PMSAP QMSAPSAP S4 HanaPMSAP S HanaQm,3 Days Ago,2024-11-24,Not disclosed
179,Senior Executive - Compression Machine Operator,Cipla,Pune(Kurkumbh),2-4 Yrs,Fette PT3090compression Machine operatorFette 3090i and CaCdmach CTX32 compressionCGMPUSFDASeniorMachineCompression,7 Days Ago,2024-11-24,Not disclosed
180,Front Office Executive/ OPD Billing @Fortis Mumbai,Fortis,"Thane, Navi Mumbai, Mumbai (All Areas)",0-5 Yrs,Patient CareOPDCoordinationFront OfficeBillingGuest RelationsOfficeRelationship,30 Days Ago,2024-11-24,Not disclosed
181,Senior Executive - Mechanical,Cipla,Pune(Kurkumbh),2-4 Yrs,OSD Process MaintenanceMechanical MaintenanceSeniorMaintenanceProcessOSDMechanical,7 Days Ago,2024-11-24,Not disclosed
182,Senior Executive -Electrical & Instrumentation,Cipla,Pune,2-5 Yrs,QMSElectrical & InstrumentationBmsMaintenanceGMPControl and MonitoringOperationInstruments,7 Days Ago,2024-11-24,Not disclosed
183,Optometrist/Technician/ Optician/Sales/Marketing - PUNE,KEN The Range Of Vision,Pune(Dehu Road +2),0-5 Yrs,SalesContact LensRefractionProblem SolvingDispensingStore ManagementOpticsMarketing,8 Days Ago,2024-11-24,2.5-5 Lacs PA
184,Clinical Research Internship - B.Pharm / M.Pharm / Pharm D - Freshers,Clin Infotech,"Hyderabad/Secunderabad, Pune, Bengaluru",0-1 Yrs,PharmaPharmaceuticsClinical OperationsZoologyBptClinical researchPharmacovigilanceInternship,15 Days Ago,2024-11-24,Not disclosed
185,Operator Trainee-24,Kimberly-Clark Corporation,Pune,2-4 Yrs,SUBKaizenLean manufacturingQuality systemsShop floorMISPackagingGMP,4 Days Ago,2024-11-24,Not disclosed
186,Massage Therapist,Kokilaben Dhirubhai Ambani Hospital,Mumbai(Andheri West),0-1 Yrs,Massagemalemassuer,29 Days Ago,2024-11-24,1.75-3 Lacs PA
187,Customer Relationship Executive,Mpower - Aditya Birla Education Trust,"Mumbai(Grant Road), Bengaluru(Indra Nagar)",3-8 Yrs,Front OfficeTelecallingtelesalesClient RelationCustomer HandlingFront DeskReceptionGuest Relations,12 Days Ago,2024-11-24,Not disclosed
188,Cipla : Hiring For Therapy Manager /Medical Rep. in Critical Care div.,Cipla,"Lucknow, Bengaluru, Mumbai (All Areas)",1-6 Yrs,SalesMedical RepPharmaceuticalPharma SellingTerritory SalesSellingMRsales officer,14 Days Ago,2024-11-24,Not disclosed
189,ServiceNow Programmer Analyst,Roche Diagnostics,Pune,2-5 Yrs,Business AnalystAnalyticalJavascriptFinancial managementHealthcareSoftware product developmentHTMLCustomer service,5 Days Ago,2024-11-24,Not disclosed
190,Veeva Tech Lead: Clinical Trial,Roche Diagnostics,Pune,5-7 Yrs,IT servicescontinuous integrationPrototypeGCPProject managementAnalyticalHealthcareCustomer service,5 Days Ago,2024-11-24,Not disclosed
191,Veeva Tech Lead: Clinical Trial,Hoffmann-La Roche,Pune,5-7 Yrs,IT servicescontinuous integrationPrototypeGCPProject managementAnalyticalHealthcareCustomer service,5 Days Ago,2024-11-24,Not disclosed
192,DevOps Engineer,Hoffmann-La Roche,Pune,2-5 Yrs,Product managementAutomationManaged servicesAgileHealthcareContinuous improvementMonitoringFirewall,5 Days Ago,2024-11-24,Not disclosed
193,ServiceNow Programmer Analyst,Hoffmann-La Roche,Pune,2-5 Yrs,Business AnalystAnalyticalJavascriptFinancial managementHealthcareSoftware product developmentHTMLCustomer service,5 Days Ago,2024-11-24,Not disclosed
194,Company Secretary and Legal Counsel,Medtronic,Pune,7-9 Yrs,Company Secretaryoperational supportCorporate governanceLitigationLegal CounselROCLegalHealthcare,5 Days Ago,2024-11-24,Not disclosed
195,Assistant Manager Techno-Commercial - Pharmaceuticals - Pune,Emcure,Pune,8-12 Yrs,Technology TransferTechno commercialCmoContract Manufacturingregulated marketsTechnical ServicesTechnologyTransfer,5 Days Ago,2024-11-24,Not disclosed
196,Sales Professional (API / Excipients) - Santacruz,Leading Client,"Mumbai, Chennai, Delhi / NCR",1-6 Yrs,API Business Developmentproject managementpharma marketingsales growthbusiness developmentSalesExcipientsDevelopment,11 Days Ago,2024-11-24,Not disclosed
197,DevOps Engineer,Roche Diagnostics,Pune,5-6 Yrs,Product managementAutomationManaged servicesAgileHealthcareContinuous improvementMonitoringFirewall,5 Days Ago,2024-11-24,Not disclosed
198,Senior IT Project Lead,Medtronic,Pune,6-7 Yrs,Change managementProject managementAnalyticalAgileHealthcareIssue resolutionScrumRisk management,3 Days Ago,2024-11-24,Not disclosed
199,Experienced counter salesman For a Pharmacy,Star Medical And General Stores,Mumbai,3-8 Yrs,Retail SalesCounter SalesSales PromotionPersonal SellingSales Executive ActivitiesPharmacyPromotionsPersonal,6 Days Ago,2024-11-24,1.2-1.8 Lacs PA
200,Customer Care Executive (Freshers required),Wockhardt Hospitals,"Mumbai, Mira road",0-3 Yrs,customer ccommunicaCustomer ServiceoutbouCCustomer care,19 Days Ago,2024-11-24,Not disclosed
201,Trainee- Human Resource,Alembic Pharmaceuticals,Mumbai,0-1 Yrs,Human ResourceHR OperationsTalent AcquisitionPayroll ManagementRecruitmentPayrollOperationsManagement,1 Day Ago,2024-11-24,1-3.5 Lacs PA
202,Pharmacokinetic/ PK expert_CRO,Accutest Research Laboratories,"Navi Mumbai, koperkhairane",4-6 Yrs,SASPharmacokineticsBiostatisticsCROICH GCP and Safety guidelinesBioequivalenceClinicalStatistical Programming,3 Days Ago,2024-11-24,Not disclosed
203,Receptionist/Front Office Executive,Accutest Research Laboratories,"Navi Mumbai, Koparkhairne",2-7 Yrs,Front OfficeReceptionist ActivitiesFront Office ManagementReceptionGuest HandlingOffice AssistanceFront DeskFront Office Operations,3 Days Ago,2024-11-24,Not disclosed
204,Medical & Nursing Superintendent,A S Recruitment Firm,"Navi Mumbai, Mumbai (All Areas)",8-13 Yrs,administrationPatient CareCNOHospital AdministrationMSHospital ManagementCEONABH,4 Days Ago,2024-11-24,13-22.5 Lacs PA
205,Lead Protocol writer_CRO,Accutest Research Laboratories,"Navi Mumbai, koperkhairane",8-10 Yrs,ProtocolsICH-GCPICH-GCP GuidelinesProtocol WritingCSRProtocol DesigningCRFICF,3 Days Ago,2024-11-24,Not disclosed
206,Territory Business Manager-Invicta-Satara,Abbott,Mumbai,2-4 Yrs,Medical devicesSales planningPharmaAnalyticalHealthcareBusiness strategyMonitoringSalesforce,9 Days Ago,2024-11-24,Not disclosed
207,Junior Technical Officer / Technical Officer,Kokilaben Dhirubhai Ambani Hospital,Mumbai,0-2 Yrs,UsageManager Quality AssuranceManager TechnologyInstrumentationInventoryTechnologyTechnology managementQuality assurance,30+ Days Ago,2024-11-24,Not disclosed
208,Junior Officer / Officer / Senior Officer,Kokilaben Dhirubhai Ambani Hospital,Mumbai Suburban,3-5 Yrs,MechanicalElectrical EngineeringDegree/Diploma in HVAC/Mechanical Engineering/Civil Engineering/Electrical EngineeringEngineeringCivilCivil engineeringElectricalsSenior,10 Days Ago,2024-11-24,Not disclosed
